category,series_name,tile_type,color,surface,size_cm,size_inches,sku_code,application,suitable_for,unnamed:_10,embedding_text,page_number,image_path
Metal,Mimesis,Porcelain Tiles,Rust,Matt,80x80,"31.49""x31.49""",A05GMIMS-RST.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Rust color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_RUST.jpeg
Metal,Mimesis,Porcelain Tiles,Anthracite,Matt,60x120,"23.62""x47.24""",A12GMIMS-ANT.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Anthracite color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_ANTHRACITE_DECOR.jpeg
Metal,Mimesis,Porcelain Tiles,Grey,Matt,60x120,"23.62""x47.24""",A12GMIMS-GRY.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_GREY_DECOR.jpeg
Metal,Mimesis,Porcelain Tiles,Ivory,Matt,60x120,"23.62""x47.24""",A12GMIMS-IVO.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Ivory color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_IVORY_DECOR.jpeg
Metal,Mimesis,Porcelain Tiles,Rust,Matt,60x120,"23.62""x47.24""",A12GMIMS-RST.M0X5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Rust color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_RUST.jpeg
Metal,Mimesis,Porcelain Tiles,Anthracite,Matt,60x60,"23.62""x23.62""",A06GMIMS-ANT.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Anthracite color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_ANTHRACITE_DECOR.jpeg
Metal,Mimesis,Porcelain Tiles,Grey,Matt,60x60,"23.62""x23.62""",A06GMIMS-GRY.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_GREY_DECOR.jpeg
Metal,Mimesis,Porcelain Tiles,Ivory,Matt,60x60,"23.62""x23.62""",A06GMIMS-IVO.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Ivory color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_IVORY_DECOR.jpeg
Metal,Mimesis,Porcelain Tiles,Rust,Matt,60x60,"23.62""x23.62""",A06GMIMS-RST.M0X0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Rust color with a Matt finish, size 60x60 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_RUST.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Anthracite,Matt,80x80,"31.49""x31.49""",A05GMIMS-ANT.MGX0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Anthracite color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_ANTHRACITE_DECOR.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Grey,Matt,80x80,"31.49""x31.49""",A05GMIMS-GRY.MGX0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_GREY_DECOR.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Ivory,Matt,80x80,"31.49""x31.49""",A05GMIMS-IVO.MGX0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Ivory color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_GREY_DECOR.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Rust,Matt,80x80,"31.49""x31.49""",A05GMIMS-RST.MGX0R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Rust color with a Matt finish, size 80x80 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_RUST.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Anthracite,Matt,60x120,"23.62""x47.24""",A12GMIMS-ANT.MGX5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Anthracite color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_ANTHRACITE_DECOR.jpeg
Metal,Mimesis Decor,Porcelain Tiles,Grey,Matt,60x120,"23.62""x47.24""",A12GMIMS-GRY.MGX5R,Wall/Floor,Domestic/Light Commercial,,"series Porcelain Tiles in Grey color with a Matt finish, size 60x120 cm, suitable for wall/floor applications in domestic/light commercial spaces.",20,./extracted_images/MIMESIS_GREY_DECOR.jpeg
